epoch,step,val_loss
0,0,1.0389370918273926
0,1,0.8547165393829346
1,2,0.6874054074287415
1,3,0.7577369809150696
2,4,0.7573106288909912
2,5,0.7010723948478699
3,6,0.7009885311126709
3,7,0.7426103949546814
4,8,0.771953284740448
4,9,0.76291823387146
5,10,0.7416682243347168
5,11,0.7076400518417358
6,12,0.688249945640564
6,13,0.6847772002220154
7,14,0.6896174550056458
7,15,0.6917438507080078
8,16,0.6885426044464111
8,17,0.6837782263755798
9,18,0.6802937984466553
9,19,0.6808936595916748
10,20,0.6849775910377502
10,21,0.6912029981613159
11,22,0.6965223550796509
11,23,0.6998153924942017
12,24,0.6995365619659424
12,25,0.696198582649231
13,26,0.6909291744232178
13,27,0.6854504346847534
14,28,0.6815690398216248
14,29,0.6780468821525574
15,30,0.6756333708763123
15,31,0.674801766872406
16,32,0.6742042303085327
16,33,0.6736776828765869
17,34,0.6733034253120422
17,35,0.6733195781707764
18,36,0.6732736229896545
18,37,0.6745817065238953
19,38,0.6768471598625183
19,39,0.6778827905654907
